Iter 385000,error 0.868
Iter 386000,error 0.885
Iter 387000,error 0.873
Iter 388000,error 0.881
Iter 389000,error 0.871
Iter 390000,error 0.864
Iter 391000,error 0.874
Iter 392000,error 0.87
Iter 393000,error 0.865
Iter 394000,error 0.867
Iter 395000,error 0.863
Iter 396000,error 0.865
Iter 397000,error 0.897
Iter 398000,error 0.876
Iter 399000,error 0.908
Iter 400000,error 0.874
Iter 401000,error 0.862
Iter 402000,error 0.865
Iter 403000,error 0.882
Iter 404000,error 0.871
Iter 405000,error 0.863
Iter 406000,error 0.864
Iter 407000,error 0.869
Iter 408000,error 0.882
Iter 409000,error 0.872
Iter 410000,error 0.871
Iter 411000,error 0.858
Iter 412000,error 0.862
Iter 413000,error 0.858
Iter 414000,error 0.866
Iter 415000,error 0.871
Iter 416000,error 0.858
Iter 417000,error 0.862
Iter 418000,error 0.876
Iter 419000,error 0.854
Iter 420000,error 0.86
Iter 421000,error 0.858
Iter 422000,error 0.869
Iter 423000,error 0.858
Iter 424000,error 0.863
Iter 425000,error 0.859
Iter 426000,error 0.863
Iter 427000,error 0.862
Iter 428000,error 0.858
Iter 429000,error 0.879
Iter 430000,error 0.872
Iter 431000,error 0.853
Iter 432000,error 0.865
Iter 433000,error 0.859
Iter 434000,error 0.855
Iter 435000,error 0.859
Iter 436000,error 0.852
Iter 437000,error 0.855
Iter 438000,error 0.858
Iter 439000,error 0.855
Iter 440000,error 0.852
Iter 441000,error 0.881
Iter 442000,error 0.851
Iter 443000,error 0.851
Iter 444000,error 0.896
Iter 445000,error 0.848
Iter 446000,error 0.848
Iter 447000,error 0.86
Iter 448000,error 0.856
Iter 449000,error 0.85
Iter 450000,error 0.855
Iter 451000,error 0.846
Iter 452000,error 0.853
Iter 453000,error 0.849
Iter 454000,error 0.848
Iter 455000,error 0.852
Iter 456000,error 0.89
Iter 457000,error 0.857
Iter 458000,error 0.849
Iter 459000,error 0.847
Iter 460000,error 0.853
Iter 461000,error 0.846
Iter 462000,error 0.853
Iter 463000,error 0.848
Iter 464000,error 0.854
Iter 465000,error 0.845
Iter 466000,error 0.846
Iter 467000,error 0.851
Iter 468000,error 0.851
Iter 469000,error 0.857
Iter 470000,error 0.85
Iter 471000,error 0.845
Iter 472000,error 0.856
Iter 473000,error 0.845
Iter 474000,error 0.857
Iter 475000,error 0.846
Iter 476000,error 0.851
Iter 477000,error 0.848
Iter 478000,error 0.854
Iter 479000,error 0.852
Iter 480000,error 0.845
Iter 481000,error 0.872
Iter 482000,error 0.86
Iter 483000,error 0.847
Iter 484000,error 0.847
Iter 485000,error 0.851
Iter 486000,error 0.858
Iter 487000,error 0.85
Iter 488000,error 0.874
Iter 489000,error 0.845
Iter 490000,error 0.842
Iter 491000,error 0.843
Iter 492000,error 0.843
Iter 493000,error 0.841
Iter 494000,error 0.848
Iter 495000,error 0.855
Iter 496000,error 0.852
Iter 497000,error 0.84
Iter 498000,error 0.845
Iter 499000,error 0.839
Iter 500000,error 0.856
Iter 501000,error 0.922
Iter 502000,error 0.842
Iter 503000,error 0.861
Iter 504000,error 0.84
Iter 505000,error 0.839
Iter 506000,error 0.839
Iter 507000,error 0.866
Iter 508000,error 0.839
Iter 509000,error 0.841
Iter 510000,error 0.851
Iter 511000,error 0.87
Iter 512000,error 0.84
Iter 513000,error 0.836
Iter 514000,error 0.873
Iter 515000,error 0.837
Iter 516000,error 0.841
Iter 517000,error 0.849
